Hey Soul Sister,Train,2010,83,HeySoulSister.wav
Love The Way You Lie,Eminem,2010,82,LoveTheWayYouLie.wav
A Thousand Years,Christina Perri,2011,81,AThousandYears.wav
Someone Like You,Adele,2011,80,SomeoneLikeYou.wav
Titanium (feat. Sia),David Guetta,2012,80,Titanium.wav
Bad Romance,Lady Gaga,2010,79,BadRomance.wav
Give Me Everything,Pitbull,2011,79,GiveMeEverything.wav
Locked Out of Heaven,Bruno Mars,2012,79,LockedOutOfHeaven.wav
Paradise,Coldplay,2012,79,Paradise.wav
Payphone,Maroon 5,2012,79,Payphone.wav
Just the Way You Are,Bruno Mars,2010,78,JustTheWayYouAre.wav
What Makes You Beautiful,One Direction,2012,78,WhatMakesYouBeautiful.wav
Baby,Justin Bieber,2010,77,Baby.wav
Dynamite,Taio Cruz,2010,77,Dynamite.wav
Secrets,OneRepublic,2010,77,Secrets.wav
I Knew You Were Trouble.,Taylor Swift,2012,77,IKnewYouWereTrouble.wav
Empire State of Mind (Part II) Broken Down,Alicia Keys,2010,76,EmpireStateOfMind.wav
Rolling in the Deep,Adele,2011,76,RollingintheDeep.wav
Run the World (Girls),Beyonce,2011,76,RunTheWorld.wav
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2011,76,MovesLikeJagger.wav
Love On Top,Beyonce,2011,76,LoveOnTop.wav
Call Me Maybe,Carly Rae Jepsen,2012,76,CallMeMaybe.wav
Love You Like A Love Song,Selena Gomez & The Scene,2012,76,LoveYouLikeALoveSong.wav
Set Fire to the Rain,Adele,2012,76,SetFireToTheRain.wav
Grenade,Bruno Mars,2011,75,Grenade.wav
Tonight Tonight,Hot Chelle Rae,2011,75,TonightTonight.wav
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2012,75,StereoHearts.wav
What the Hell,Avril Lavigne,2011,74,WhatTheHell.wav
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,74,Stronger.wav
We Are Young (feat. Janelle Monae),Fun.,2012,72,WeAreYoung.wav
I Will Not Bow,Breaking Benjamin,2009,64,IWillNotBow.wav
In the End,Black Veil Brides,2013,55,InTheEnd.wav